trajectory,time,lon,lat
1,2010-01-08,-48.466415,-27.429623
2,2010-01-08,-48.494812,-27.438828
3,2010-01-08,-48.474953,-27.428003
4,2010-01-08,-48.46245,-27.429504
5,2010-01-08,-48.465263,-27.4298
6,2010-01-08,-48.498604,-27.44014
7,2010-01-08,-48.472366,-27.429974
8,2010-01-08,-48.48714,-27.438137
9,2010-01-08,-48.497524,-27.439877
10,2010-01-08,-48.47688,-27.427986
11,2010-01-08,-48.48066,-27.429325
12,2010-01-08,-48.468323,-27.428019
13,2010-01-08,-48.473625,-27.428915
14,2010-01-08,-48.48059,-27.429228
15,2010-01-08,-48.476017,-27.428793
16,2010-01-08,-48.48837,-27.438894
17,2010-01-08,-48.47322,-27.43076
18,2010-01-08,-48.477276,-27.415972
19,2010-01-08,-48.47888,-27.417166
20,2010-01-08,-48.50426,-27.43866
21,2010-01-08,-48.499584,-27.440224
22,2010-01-08,-48.471554,-27.430061
23,2010-01-08,-48.47372,-27.430227
24,2010-01-08,-48.495552,-27.440226
25,2010-01-08,-48.43343,-27.389948
26,2010-01-08,-48.494343,-27.437962
27,2010-01-08,-48.47665,-27.427294
28,2010-01-08,-48.48197,-27.429302
29,2010-01-08,-48.45997,-27.428022
30,2010-01-08,-48.460075,-27.43017
31,2010-01-08,-48.471394,-27.427975
32,2010-01-08,-48.477383,-27.427301
33,2010-01-08,-48.479996,-27.41491
34,2010-01-08,-48.509605,-27.439299
35,2010-01-08,-48.478973,-27.42919
36,2010-01-08,-48.468815,-27.43005
37,2010-01-08,-48.461735,-27.428846
38,2010-01-08,-48.473648,-27.430347
39,2010-01-08,-48.486534,-27.438652
40,2010-01-08,-48.470764,-27.428482
41,2010-01-08,-48.49831,-27.440344
42,2010-01-08,-48.48024,-27.414831
43,2010-01-08,-48.494843,-27.439945
44,2010-01-08,-48.43082,-27.389471
45,2010-01-08,-48.477486,-27.430565
46,2010-01-08,-48.477196,-27.42781
47,2010-01-08,-48.49119,-27.437984
48,2010-01-08,-48.464653,-27.428793
49,2010-01-08,-48.492195,-27.438301
50,2010-01-08,-48.476807,-27.42838
51,2010-01-08,-48.47501,-27.430288
52,2010-01-08,-48.469337,-27.430698
53,2010-01-08,-48.473434,-27.429312
54,2010-01-08,-48.475662,-27.429161
55,2010-01-08,-48.47869,-27.42725
56,2010-01-08,-48.466965,-27.429005
57,2010-01-08,-48.469864,-27.429901
58,2010-01-08,-48.469864,-27.428745
59,2010-01-08,-48.47772,-27.415403
60,2010-01-08,-48.4698,-27.429739
61,2010-01-08,-48.468994,-27.428905
62,2010-01-08,-48.46792,-27.428856
63,2010-01-08,-48.47713,-27.429022
64,2010-01-08,-48.4954,-27.438156
65,2010-01-08,-48.466526,-27.42919
66,2010-01-08,-48.476833,-27.429455
67,2010-01-08,-48.48619,-27.437632
68,2010-01-08,-48.46203,-27.42905
69,2010-01-08,-48.480972,-27.429338
70,2010-01-08,-48.46714,-27.43026
71,2010-01-08,-48.466866,-27.428783
72,2010-01-08,-48.464664,-27.428759
73,2010-01-08,-48.45923,-27.42989
74,2010-01-08,-48.47832,-27.428392
75,2010-01-08,-48.46209,-27.428528
76,2010-01-08,-48.48035,-27.42858
77,2010-01-08,-48.47143,-27.429306
78,2010-01-08,-48.481033,-27.42828
79,2010-01-08,-48.475075,-27.428701
80,2010-01-08,-48.462936,-27.428774
81,2010-01-08,-48.478745,-27.429705
82,2010-01-08,-48.45862,-27.430391
83,2010-01-08,-48.45729,-27.429033
84,2010-01-08,-48.480297,-27.428736
85,2010-01-08,-48.433365,-27.390358
86,2010-01-08,-48.429386,-27.390263
87,2010-01-08,-48.434372,-27.388033
88,2010-01-08,-48.47123,-27.429882
89,2010-01-08,-48.477142,-27.431067
90,2010-01-08,-48.460354,-27.428623
91,2010-01-08,-48.47645,-27.42947
92,2010-01-08,-48.43564,-27.389887
93,2010-01-08,-48.46549,-27.43158
94,2010-01-08,-48.451996,-27.42687
95,2010-01-08,-48.46225,-27.431635
96,2010-01-08,-48.457382,-27.430714
97,2010-01-08,-48.4637,-27.429369
98,2010-01-08,-48.449757,-27.426003
99,2010-01-08,-48.460823,-27.429817
100,2010-01-08,-48.459988,-27.42926
101,2010-01-08,-48.432693,-27.389929
102,2010-01-08,-48.475594,-27.429647
103,2010-01-08,-48.47632,-27.43045
104,2010-01-08,-48.45614,-27.429783
105,2010-01-08,-48.470646,-27.429218
106,2010-01-08,-48.429916,-27.388952
107,2010-01-08,-48.46361,-27.428896
108,2010-01-08,-48.4712,-27.430988
109,2010-01-08,-48.42999,-27.389105
110,2010-01-08,-48.435947,-27.391203
111,2010-01-08,-48.42842,-27.392227
112,2010-01-08,-48.4612,-27.42793
113,2010-01-08,-48.47358,-27.428513
114,2010-01-08,-48.42788,-27.391378
115,2010-01-08,-48.461594,-27.430151
116,2010-01-08,-48.459972,-27.42912
117,2010-01-08,-48.452076,-27.42717
118,2010-01-08,-48.461967,-27.429026
119,2010-01-08,-48.45157,-27.428963
120,2010-01-08,-48.437172,-27.393028
121,2010-01-08,-48.45374,-27.427307
122,2010-01-08,-48.473328,-27.429068
123,2010-01-08,-48.454357,-27.427654
124,2010-01-08,-48.43493,-27.38984
125,2010-01-08,-48.467697,-27.431467
126,2010-01-08,-48.459583,-27.4308
127,2010-01-08,-48.46523,-27.429731
128,2010-01-08,-48.429615,-27.389902
129,2010-01-08,-48.448784,-27.4272
130,2010-01-08,-48.457233,-27.428215
131,2010-01-08,-48.46787,-27.42959
132,2010-01-08,-48.45279,-27.428843
133,2010-01-08,-48.464012,-27.428894
134,2010-01-08,-48.457336,-27.428528
135,2010-01-08,-48.467697,-27.42995
136,2010-01-08,-48.44964,-27.427937
137,2010-01-08,-48.45182,-27.430113
138,2010-01-08,-48.460476,-27.430386
139,2010-01-08,-48.457783,-27.429077
140,2010-01-08,-48.465942,-27.42875
141,2010-01-08,-48.470787,-27.43136
142,2010-01-08,-48.459946,-27.430319
143,2010-01-08,-48.45233,-27.42948
144,2010-01-08,-48.449337,-27.42815
145,2010-01-08,-48.420383,-27.384352
146,2010-01-08,-48.44771,-27.42777
147,2010-01-08,-48.464947,-27.428701
148,2010-01-08,-48.43261,-27.389896
149,2010-01-08,-48.46847,-27.431133
150,2010-01-08,-48.459038,-27.430635
151,2010-01-08,-48.46338,-27.431631
152,2010-01-08,-48.42969,-27.391068
153,2010-01-08,-48.461517,-27.429237
154,2010-01-08,-48.46888,-27.428032
155,2010-01-08,-48.460537,-27.430227
156,2010-01-08,-48.465885,-27.428545
157,2010-01-08,-48.438087,-27.394855
158,2010-01-08,-48.47186,-27.431225
159,2010-01-08,-48.469894,-27.429993
160,2010-01-08,-48.4619,-27.43012
161,2010-01-08,-48.462414,-27.42916
162,2010-01-08,-48.42867,-27.389778
163,2010-01-08,-48.44748,-27.427567
164,2010-01-08,-48.45157,-27.428205
165,2010-01-08,-48.47493,-27.430605
166,2010-01-08,-48.450947,-27.42726
167,2010-01-08,-48.46652,-27.429216
168,2010-01-08,-48.47032,-27.428553
169,2010-01-08,-48.447437,-27.42661
170,2010-01-08,-48.452694,-27.428244
171,2010-01-08,-48.433693,-27.389942
172,2010-01-08,-48.4539,-27.427467
173,2010-01-15,-48.45015,-27.426418
174,2010-01-08,-48.456577,-27.428709
175,2010-01-15,-48.46959,-27.429626
176,2010-01-15,-48.450005,-27.428156
177,2010-01-15,-48.46614,-27.428003
178,2010-01-15,-48.462463,-27.429762
179,2010-01-15,-48.46248,-27.430557
180,2010-01-15,-48.459343,-27.43021
181,2010-01-15,-48.464993,-27.43028
182,2010-01-15,-48.47183,-27.431068
183,2010-01-15,-48.46515,-27.428635
184,2010-01-15,-48.488117,-27.43987
185,2010-01-15,-48.44855,-27.425732
186,2010-01-15,-48.473423,-27.430836
187,2010-01-15,-48.46658,-27.429451
188,2010-01-15,-48.45466,-27.429264
189,2010-01-15,-48.45853,-27.430481
190,2010-01-15,-48.429535,-27.391916
191,2010-01-15,-48.468006,-27.429117
192,2010-01-15,-48.451206,-27.426632
193,2010-01-15,-48.45603,-27.429808
194,2010-01-15,-48.46867,-27.428602
195,2010-01-15,-48.44726,-27.42769
196,2010-01-15,-48.45904,-27.430727
197,2010-01-15,-48.447117,-27.427505
198,2010-01-15,-48.44895,-27.425522
199,2010-01-15,-48.42564,-27.392385
200,2010-01-15,-48.432335,-27.391834
201,2010-01-15,-48.45943,-27.428482
202,2010-01-15,-48.456997,-27.429049
203,2010-01-15,-48.43574,-27.390478
204,2010-01-15,-48.44954,-27.428215
205,2010-01-15,-48.44965,-27.428667
206,2010-01-15,-48.477314,-27.429722
207,2010-01-15,-48.455563,-27.428919
208,2010-01-15,-48.46197,-27.430557
209,2010-01-15,-48.451427,-27.428902
210,2010-01-15,-48.455982,-27.42719
211,2010-01-15,-48.43477,-27.389675
212,2010-01-15,-48.45491,-27.427908
213,2010-01-15,-48.447563,-27.426113
214,2010-01-15,-48.46275,-27.430506
215,2010-01-15,-48.467003,-27.430122
216,2010-01-15,-48.45918,-27.428137
217,2010-01-15,-48.455338,-27.428934
218,2010-01-15,-48.451637,-27.427305
219,2010-01-15,-48.42595,-27.389956
220,2010-01-15,-48.45714,-27.428377
221,2010-01-15,-48.46277,-27.42858
222,2010-01-15,-48.462437,-27.43071
223,2010-01-15,-48.463474,-27.429058
224,2010-01-15,-48.450893,-27.428556
225,2010-01-15,-48.469418,-27.429873
226,2010-01-15,-48.456356,-27.428589
227,2010-01-15,-48.455276,-27.429522
228,2010-01-15,-48.44986,-27.428326
229,2010-01-15,-48.462017,-27.430027
230,2010-01-15,-48.460323,-27.43037
231,2010-01-15,-48.4669,-27.428476
232,2010-01-15,-48.458103,-27.42816
233,2010-01-15,-48.460087,-27.429447
234,2010-01-15,-48.449436,-27.426834
235,2010-01-15,-48.467136,-27.429375
236,2010-01-15,-48.436817,-27.392664
237,2010-01-15,-48.429966,-27.389902
238,2010-01-15,-48.474472,-27.42915
239,2010-01-15,-48.45047,-27.428232
240,2010-01-15,-48.435703,-27.390583
241,2010-01-15,-48.46077,-27.42945
242,2010-01-15,-48.45517,-27.428646
243,2010-01-15,-48.458225,-27.429876
244,2010-01-15,-48.455585,-27.429031
245,2010-01-15,-48.456444,-27.429888
246,2010-01-15,-48.473415,-27.430374
247,2010-01-15,-48.4307,-27.391401
248,2010-01-15,-48.433277,-27.39149
249,2010-01-15,-48.461426,-27.428291
250,2010-01-15,-48.46724,-27.429703
251,2010-01-15,-48.446426,-27.42707
252,2010-01-15,-48.45496,-27.428862
253,2010-01-15,-48.452236,-27.426918
254,2010-01-15,-48.45634,-27.427301
255,2010-01-15,-48.43577,-27.390959
256,2010-01-15,-48.4452,-27.425167
257,2010-01-15,-48.462475,-27.430254
258,2010-01-15,-48.469105,-27.429588
259,2010-01-15,-48.46308,-27.430193
260,2010-01-15,-48.43787,-27.395151
261,2010-01-15,-48.460636,-27.428362
262,2010-01-15,-48.4615,-27.429155
263,2010-01-15,-48.456318,-27.429602
264,2010-01-15,-48.455715,-27.427975
265,2010-01-15,-48.471405,-27.428898
266,2010-01-15,-48.450985,-27.42833
267,2010-01-15,-48.43827,-27.396
268,2010-01-15,-48.450344,-27.42649
269,2010-01-15,-48.455975,-27.429163
270,2010-01-15,-48.45457,-27.42726
271,2010-01-15,-48.449562,-27.42594
272,2010-01-15,-48.478806,-27.41396
273,2010-01-15,-48.421772,-27.3851
274,2010-01-15,-48.44787,-27.426247
275,2010-01-15,-48.456013,-27.427813
276,2010-01-15,-48.455555,-27.428299
277,2010-01-15,-48.438213,-27.394573
278,2010-01-15,-48.45368,-27.427732
279,2010-01-15,-48.474304,-27.429617
280,2010-01-15,-48.426483,-27.390327
281,2010-01-15,-48.452652,-27.428339
282,2010-01-15,-48.431458,-27.390627
283,2010-01-15,-48.46114,-27.429688
284,2010-01-15,-48.427975,-27.391373
285,2010-01-15,-48.450817,-27.427761
286,2010-01-15,-48.447342,-27.425152
287,2010-01-15,-48.465347,-27.429888
288,2010-01-15,-48.4367,-27.392143
289,2010-01-15,-48.43536,-27.389133
290,2010-01-15,-48.431736,-27.390375
291,2010-01-15,-48.459965,-27.429146
292,2010-01-15,-48.455334,-27.4286
293,2010-01-15,-48.42618,-27.390417
294,2010-01-15,-48.464943,-27.429445
295,2010-01-15,-48.453995,-27.427973
296,2010-01-15,-48.433918,-27.390669
297,2010-01-15,-48.44986,-27.425543
298,2010-01-15,-48.43389,-27.390173
299,2010-01-15,-48.45549,-27.427277
300,2010-01-15,-48.449043,-27.426424
301,2010-01-15,-48.468254,-27.42956
302,2010-01-15,-48.431137,-27.389496
303,2010-01-15,-48.455795,-27.42777
304,2010-01-15,-48.460056,-27.429182
305,2010-01-15,-48.435158,-27.389933
306,2010-01-15,-48.45973,-27.428877
307,2010-01-15,-48.464066,-27.428349
308,2010-01-15,-48.466373,-27.428438
309,2010-01-15,-48.43405,-27.38964
310,2010-01-15,-48.4525,-27.427994
311,2010-01-15,-48.45399,-27.428297
312,2010-01-15,-48.434685,-27.38959
313,2010-01-15,-48.465675,-27.428589
314,2010-01-15,-48.46146,-27.428476
315,2010-01-15,-48.457638,-27.42882
316,2010-01-15,-48.453358,-27.427162
317,2010-01-15,-48.456253,-27.427341
318,2010-01-15,-48.45718,-27.428276
319,2010-01-15,-48.45222,-27.426802
320,2010-01-15,-48.45139,-27.426548
321,2010-01-15,-48.46121,-27.42948
322,2010-01-15,-48.460407,-27.428154
323,2010-01-15,-48.447052,-27.426094
324,2010-01-15,-48.46031,-27.429094
325,2010-01-15,-48.46419,-27.429476
326,2010-01-15,-48.45664,-27.427616
327,2010-01-15,-48.458954,-27.4295
328,2010-01-15,-48.419178,-27.384193
329,2010-01-15,-48.460957,-27.428411
330,2010-01-15,-48.431816,-27.389605
331,2010-01-15,-48.44519,-27.4246
332,2010-01-15,-48.462406,-27.428822
333,2010-01-15,-48.43476,-27.388634
334,2010-01-15,-48.465645,-27.428852
335,2010-01-15,-48.478123,-27.41413
336,2010-01-15,-48.447098,-27.426155
337,2010-01-15,-48.469627,-27.428156
338,2010-01-15,-48.43639,-27.391127
339,2010-01-15,-48.45923,-27.429073
340,2010-01-15,-48.427933,-27.390503
341,2010-01-15,-48.43858,-27.395594
342,2010-01-15,-48.455917,-27.428082
343,2010-01-15,-48.457985,-27.42881
344,2010-01-15,-48.46214,-27.429447
345,2010-01-22,-48.457516,-27.428799
346,2010-01-22,-48.456528,-27.428085
347,2010-01-22,-48.455673,-27.428358
348,2010-01-22,-48.45003,-27.426311
349,2010-01-22,-48.4472,-27.425909
350,2010-01-22,-48.44717,-27.424866
351,2010-01-22,-48.462208,-27.427982
352,2010-01-22,-48.46961,-27.428488
353,2010-01-15,-48.42898,-27.390759
354,2010-01-22,-48.46283,-27.428925
355,2010-01-22,-48.45972,-27.428965
356,2010-01-22,-48.456726,-27.427916
357,2010-01-22,-48.47162,-27.428656
358,2010-01-22,-48.455692,-27.427645
359,2010-01-22,-48.459156,-27.42881
360,2010-01-15,-48.43817,-27.39461
361,2010-01-22,-48.446632,-27.424696
362,2010-01-22,-48.451122,-27.426544
363,2010-01-15,-48.434048,-27.39002
364,2010-01-22,-48.448345,-27.426554
365,2010-01-22,-48.45487,-27.427675
366,2010-01-22,-48.45289,-27.426458
367,2010-01-22,-48.452847,-27.427038
368,2010-01-22,-48.457073,-27.42756
369,2010-01-22,-48.45792,-27.42821
370,2010-01-22,-48.462746,-27.428997
371,2010-01-22,-48.450424,-27.426744
372,2010-01-22,-48.462185,-27.428453
373,2010-01-22,-48.446873,-27.425093
374,2010-01-22,-48.45435,-27.426655
375,2010-01-22,-48.455578,-27.42762
376,2010-01-22,-48.436626,-27.391655
377,2010-01-22,-48.434677,-27.38888
378,2010-01-22,-48.4751,-27.428707
379,2010-01-22,-48.456482,-27.427746
380,2010-01-22,-48.43226,-27.38912
381,2010-01-22,-48.47289,-27.42824
382,2010-01-22,-48.434875,-27.389553
383,2010-01-22,-48.47555,-27.428434
384,2010-01-22,-48.46353,-27.428076
385,2010-01-22,-48.455692,-27.42771
386,2010-01-22,-48.470745,-27.427937
387,2010-01-22,-48.46094,-27.428606
388,2010-01-22,-48.46595,-27.428219
389,2010-01-22,-48.42448,-27.389612
390,2010-01-22,-48.453873,-27.42718
391,2010-01-22,-48.45045,-27.426659
392,2010-01-22,-48.45077,-27.426943
393,2010-01-22,-48.45638,-27.427973
394,2010-01-22,-48.470222,-27.428564
395,2010-01-22,-48.45743,-27.427858
396,2010-01-22,-48.462147,-27.428259
397,2010-01-22,-48.43697,-27.391098
398,2010-01-22,-48.431686,-27.390055
399,2010-01-22,-48.428497,-27.390913
400,2010-01-22,-48.43449,-27.388275
401,2010-01-22,-48.46134,-27.42856
402,2010-01-22,-48.464176,-27.428022
403,2010-01-22,-48.43566,-27.389938
404,2010-01-22,-48.45396,-27.42634
405,2010-01-22,-48.471485,-27.428019
406,2010-01-22,-48.43793,-27.393328
407,2010-01-22,-48.434166,-27.388588
408,2010-01-22,-48.45245,-27.42635
409,2010-01-22,-48.452423,-27.426605
410,2010-01-22,-48.458496,-27.428795
411,2010-01-22,-48.469303,-27.428577
412,2010-01-22,-48.43852,-27.39564
413,2010-01-22,-48.459785,-27.428654
414,2010-01-22,-48.452,-27.426271
415,2010-01-22,-48.423164,-27.389242
416,2010-01-22,-48.436802,-27.391125
417,2010-01-22,-48.456,-27.42738
418,2010-01-22,-48.45198,-27.426727
419,2010-01-22,-48.42785,-27.389797
420,2010-01-22,-48.425365,-27.390657
421,2010-01-22,-48.43509,-27.389069
422,2010-01-22,-48.455463,-27.427362
423,2010-01-22,-48.47931,-27.427347
424,2010-01-22,-48.452515,-27.426619
425,2010-01-22,-48.453472,-27.426424
426,2010-01-22,-48.460346,-27.428326
427,2010-01-22,-48.435966,-27.389818
428,2010-02-05,-48.43053,-27.412039
429,2010-01-22,-48.465164,-27.428255
430,2010-01-22,-48.455288,-27.427322
431,2010-01-22,-48.467293,-27.428123
432,2010-01-22,-48.474632,-27.42812
433,2010-01-22,-48.449665,-27.425732
434,2010-01-22,-48.45149,-27.426676
435,2010-01-22,-48.472122,-27.428
436,2010-01-22,-48.45835,-27.428135
437,2010-01-22,-48.435127,-27.388319
438,2010-01-22,-48.466003,-27.428228
439,2010-01-22,-48.453384,-27.426813
440,2010-01-22,-48.462414,-27.428331
441,2010-01-22,-48.47163,-27.428007
442,2010-01-22,-48.47096,-27.428202
443,2010-01-22,-48.462074,-27.428331
444,2010-01-22,-48.45564,-27.42741
445,2010-01-22,-48.451015,-27.426315
446,2010-01-22,-48.464825,-27.428076
447,2010-01-22,-48.45666,-27.427284
448,2010-02-05,-48.43103,-27.414322
449,2010-01-22,-48.47181,-27.428133
450,2010-01-22,-48.46023,-27.428165
451,2010-02-05,-48.431072,-27.414246
452,2010-01-22,-48.455265,-27.427328
453,2010-01-22,-48.434155,-27.388388
454,2010-01-22,-48.456715,-27.427385
455,2010-01-22,-48.45661,-27.427282
456,2010-01-22,-48.42002,-27.38366
457,2010-01-29,-48.478146,-27.417562
458,2010-02-05,-48.430286,-27.411654
459,2010-01-22,-48.46374,-27.428019
460,2010-02-05,-48.43124,-27.41473
461,2010-01-22,-48.468975,-27.428087
462,2010-02-05,-48.431133,-27.414082
463,2010-01-29,-48.477848,-27.417362
464,2010-02-05,-48.43141,-27.415058
465,2010-01-29,-48.476543,-27.416012
466,2010-01-22,-48.42437,-27.390663
467,2010-01-29,-48.4795,-27.417904
468,2010-01-29,-48.476673,-27.416159
469,2010-02-05,-48.430405,-27.41159
470,2010-02-05,-48.43199,-27.414982
471,2010-02-05,-48.430733,-27.412655
472,2010-02-05,-48.431107,-27.415049
473,2010-02-05,-48.43083,-27.414062
474,2010-02-05,-48.431164,-27.414633
475,2010-01-22,-48.42849,-27.389547
476,2010-02-05,-48.432644,-27.4162
477,2010-01-22,-48.431973,-27.388403
478,2010-02-05,-48.43123,-27.41274
479,2010-01-22,-48.43478,-27.389006
480,2010-02-05,-48.432358,-27.416092
481,2010-02-05,-48.432358,-27.415983
482,2010-02-05,-48.431934,-27.415152
483,2010-02-05,-48.431168,-27.414534
484,2010-02-05,-48.43145,-27.41531
485,2010-02-05,-48.431446,-27.414946
486,2010-02-05,-48.42998,-27.411957
487,2010-01-22,-48.434452,-27.388231
488,2010-02-05,-48.431953,-27.41488
489,2010-02-05,-48.431156,-27.414001
490,2010-02-05,-48.43113,-27.414413
491,2010-02-05,-48.430046,-27.411087
492,2010-02-05,-48.430794,-27.41314
493,2010-01-22,-48.435074,-27.388428
494,2010-01-22,-48.431583,-27.38963
495,2010-01-22,-48.416904,-27.383947
496,2010-02-05,-48.43097,-27.412226
497,2010-02-05,-48.43073,-27.412884
498,2010-02-05,-48.43127,-27.413063
499,2010-02-05,-48.43096,-27.412283
500,2010-02-05,-48.430836,-27.41286
501,2010-02-05,-48.431114,-27.413944
502,2010-02-05,-48.43127,-27.414196
503,2010-01-22,-48.435112,-27.388329
504,2010-02-05,-48.43093,-27.413143
505,2010-02-05,-48.431305,-27.415136
506,2010-02-05,-48.43116,-27.412731
507,2010-02-05,-48.43034,-27.412415
508,2010-02-05,-48.430084,-27.41221
509,2010-02-05,-48.4302,-27.412403
510,2010-01-22,-48.435246,-27.388826
511,2010-01-22,-48.43296,-27.388063
512,2010-01-22,-48.433525,-27.388645
513,2010-02-05,-48.430058,-27.411583
514,2010-02-05,-48.43035,-27.41098
515,2010-02-05,-48.430523,-27.412727
516,2010-02-05,-48.430645,-27.412691
517,2010-02-05,-48.430923,-27.414011
518,2010-02-05,-48.43096,-27.412506
519,2010-01-29,-48.43207,-27.41505
520,2010-01-22,-48.43277,-27.388243
521,2010-02-05,-48.43046,-27.411875
522,2010-02-05,-48.43016,-27.410955
523,2010-02-05,-48.430397,-27.410276
524,2010-02-05,-48.430107,-27.412178
525,2010-02-05,-48.43113,-27.41319
526,2010-02-05,-48.430042,-27.411308
527,2010-01-29,-48.431072,-27.413641
528,2010-01-29,-48.4312,-27.414074
529,2010-02-05,-48.43101,-27.408213
530,2010-01-29,-48.43134,-27.4144
531,2010-02-05,-48.43043,-27.409275
532,2010-02-05,-48.430378,-27.411959
533,2010-01-29,-48.430748,-27.412533
534,2010-02-05,-48.43127,-27.412539
535,2010-02-05,-48.430035,-27.411596
536,2010-02-05,-48.43052,-27.41182
537,2010-02-05,-48.430134,-27.411491
538,2010-02-05,-48.43041,-27.411667
539,2010-02-05,-48.430042,-27.41147
540,2010-02-05,-48.430393,-27.4099
541,2010-02-05,-48.430172,-27.411064
542,2010-02-05,-48.43027,-27.410088
543,2010-02-05,-48.4302,-27.41006
544,2010-01-29,-48.4303,-27.41147
545,2010-02-05,-48.430214,-27.409534
546,2010-02-05,-48.429955,-27.41025
547,2010-01-29,-48.430683,-27.411976
548,2010-02-05,-48.429974,-27.410135
549,2010-01-29,-48.430378,-27.410978
550,2010-02-05,-48.430004,-27.411425
551,2010-02-05,-48.430145,-27.410006
552,2010-01-29,-48.430374,-27.411816
553,2010-01-29,-48.430298,-27.410833
554,2010-02-05,-48.430252,-27.411383
555,2010-02-05,-48.430164,-27.410688
556,2010-01-29,-48.434315,-27.38856
557,2010-02-05,-48.43107,-27.407084
558,2010-01-29,-48.431038,-27.408321
559,2010-02-05,-48.431168,-27.40748
560,2010-02-05,-48.430294,-27.40957
561,2010-01-29,-48.427727,-27.389442
562,2010-02-05,-48.43104,-27.405981
563,2010-01-29,-48.431057,-27.408167
564,2010-02-05,-48.430202,-27.410215
565,2010-02-05,-48.431225,-27.40725
566,2010-01-29,-48.430943,-27.407606
567,2010-01-29,-48.431255,-27.406404
568,2010-01-29,-48.431137,-27.406866
569,2010-01-29,-48.431004,-27.406712
570,2010-01-29,-48.431206,-27.406721
571,2010-01-29,-48.431072,-27.40805
572,2010-02-05,-48.431026,-27.406233
573,2010-01-29,-48.43119,-27.407663
574,2010-01-29,-48.430195,-27.409708
575,2010-01-29,-48.431267,-27.40435
576,2010-01-29,-48.431286,-27.405819
577,2010-02-05,-48.431263,-27.406712
578,2010-01-29,-48.43859,-27.395588
579,2010-01-29,-48.431248,-27.404692
580,2010-01-29,-48.437878,-27.39411
581,2010-02-05,-48.438553,-27.394903
582,2010-01-29,-48.438396,-27.3955
583,2010-02-05,-48.43128,-27.40574
584,2010-01-29,-48.436996,-27.391926
585,2010-01-29,-48.4387,-27.39525
586,2010-01-29,-48.43124,-27.405273
587,2010-01-29,-48.430992,-27.406256
588,2010-01-29,-48.438267,-27.39461
589,2010-01-29,-48.431164,-27.404314
590,2010-02-05,-48.430943,-27.406725
591,2010-01-29,-48.436905,-27.392427
592,2010-01-29,-48.436913,-27.392551
593,2010-01-29,-48.437855,-27.39448
594,2010-01-29,-48.438538,-27.395353
595,2010-01-29,-48.431072,-27.40387
596,2010-01-29,-48.438736,-27.39552
597,2010-01-29,-48.43856,-27.39544
598,2010-01-29,-48.437084,-27.391077
599,2010-01-29,-48.438625,-27.395397
600,2010-01-29,-48.437008,-27.393055
601,2010-01-29,-48.438454,-27.395535
602,2010-01-29,-48.437527,-27.39322
603,2010-01-29,-48.43773,-27.394041
604,2010-01-29,-48.436287,-27.390434
605,2010-01-29,-48.438015,-27.394753
606,2010-01-29,-48.437675,-27.393162
607,2010-01-29,-48.43567,-27.389872
608,2010-01-29,-48.437824,-27.394281
609,2010-01-29,-48.435165,-27.388638
610,2010-01-29,-48.4376,-27.393198
611,2010-01-29,-48.43808,-27.394632
612,2010-01-29,-48.437355,-27.39332
613,2010-01-29,-48.43462,-27.387959
614,2010-01-29,-48.431763,-27.387959
615,2010-01-29,-48.43577,-27.389547
616,2010-01-29,-48.433907,-27.388052
617,2010-01-29,-48.434525,-27.387995
618,2010-01-29,-48.43371,-27.388245
619,2010-01-29,-48.42703,-27.389925
620,2010-01-29,-48.438534,-27.395842
621,2010-01-29,-48.428577,-27.389032
622,2010-01-29,-48.434967,-27.38833
623,2010-01-29,-48.434593,-27.387976
624,2010-01-29,-48.435375,-27.389072
625,2010-01-29,-48.434326,-27.38818
626,2010-01-29,-48.436974,-27.392359
627,2010-01-29,-48.432705,-27.388256
628,2010-01-29,-48.422626,-27.388119
629,2010-01-29,-48.43405,-27.387995
630,2010-01-29,-48.4316,-27.38838
631,2010-01-29,-48.435364,-27.388596
632,2010-01-29,-48.43063,-27.38903
633,2010-01-29,-48.43019,-27.388838
634,2010-01-29,-48.434216,-27.387962
635,2010-01-29,-48.43481,-27.387964
636,2010-01-29,-48.431065,-27.388676
637,2010-01-29,-48.435253,-27.388521
638,2010-01-29,-48.429443,-27.38923
639,2010-01-29,-48.425255,-27.38963
640,2010-01-29,-48.42229,-27.388002
641,2010-01-29,-48.429703,-27.38918
642,2010-01-29,-48.422096,-27.385786
643,2010-01-29,-48.42358,-27.389559
644,2010-01-29,-48.435165,-27.38934
645,2010-01-29,-48.43388,-27.388288
646,2010-01-29,-48.43079,-27.388897
647,2010-01-29,-48.423317,-27.388845
648,2010-01-29,-48.42712,-27.390007
649,2010-02-05,-48.42851,-27.389225
650,2010-01-29,-48.42035,-27.382473
651,2010-01-29,-48.428818,-27.388906
652,2010-02-05,-48.436768,-27.39272
653,2010-01-29,-48.427425,-27.389795
654,2010-01-29,-48.424545,-27.389862
655,2010-01-29,-48.4268,-27.38996
656,2010-01-29,-48.424606,-27.389814
657,2010-01-29,-48.429058,-27.389067
658,2010-01-29,-48.43569,-27.390049
659,2010-01-29,-48.429855,-27.389174
660,2010-01-29,-48.43194,-27.388136
661,2010-01-29,-48.432358,-27.38834
662,2010-01-29,-48.434933,-27.388191
663,2010-01-29,-48.424606,-27.390074
664,2010-01-29,-48.42528,-27.389812
665,2010-01-29,-48.4276,-27.389708
666,2010-01-29,-48.43288,-27.388174
